,Model Year,City,count
95,2011,Newman Lake,2
96,2011,Nine Mile Falls,1
97,2011,Nordland,1
98,2011,Normandy Park,1
99,2011,North Bend,1
100,2011,Oak Harbor,1
101,2011,Ocean Shores,1
102,2011,Olympia,22
103,2011,Onalaska,1
104,2011,Othello,1
105,2011,Palouse,1
106,2011,Pasco,4
107,2011,Port Angeles,5
108,2011,Port Orchard,1
109,2011,Port Townsend,11
110,2011,Poulsbo,2
111,2011,Pullman,2
112,2011,Puyallup,6
113,2011,Raymond,1
114,2011,Redmond,9
115,2011,Renton,8
116,2011,Richland,4
117,2011,Roy,2
118,2011,Sammamish,5
119,2011,Seatac,2
120,2011,Seattle,117
121,2011,Sequim,2
122,2011,Shoreline,7
123,2011,Silverdale,1
124,2011,Snohomish,5
125,2011,South Hill,1
126,2011,Spanaway,7
127,2011,Spokane,18
128,2011,Spokane Valley,8
129,2011,Steilacoom,1
130,2011,Sumner,2
131,2011,Sunnyside,2
132,2011,Tacoma,30
133,2011,Tenino,1
134,2011,Tukwila,2
135,2011,Tumwater,4
136,2011,University Place,3
137,2011,Vancouver,20
138,2011,Vashon,3
139,2011,Waldron,1
140,2011,Walla Walla,1
141,2011,Wenatchee,1
142,2011,Westport,1
143,2011,White Salmon,3
144,2011,Winlock,1
145,2011,Woodinville,4
146,2011,Yacolt,1
147,2011,Yakima,3
148,2011,Yelm,1
149,2011,Zillah,2
150,2012,Airway Heights,3
151,2012,Amboy,1
152,2012,Anacortes,14
153,2012,Arlington,6
154,2012,Auburn,13
155,2012,Austin,1
156,2012,Bainbridge Island,19
157,2012,Battle Ground,6
158,2012,Belfair,2
159,2012,Bellevue,42
160,2012,Bellingham,47
161,2012,Benton City,2
162,2012,Black Diamond,2
163,2012,Blaine,1
164,2012,Bonney Lake,7
165,2012,Bothell,22
166,2012,Bow,2
167,2012,Bremerton,19
168,2012,Brewer,1
169,2012,Brewster,1
170,2012,Brier,4
171,2012,Brinnon,1
172,2012,Brush Prairie,6
173,2012,Buckley,3
174,2012,Bucoda,1
175,2012,Burien,6
176,2012,Burlington,3
177,2012,Camano Island,5
178,2012,Camas,13
179,2012,Carlton,1
180,2012,Carnation,1
181,2012,Centralia,4
182,2012,Chattaroy,1
183,2012,Chehalis,6
184,2012,Cheney,1
185,2012,Chewelah,2
186,2012,Clarkston,1
187,2012,Cle Elum,2
188,2012,Clinton,3
189,2012,Clyde Hill,1
190,2012,College Place,1
191,2012,Colville,1
192,2012,Coupeville,6
193,2012,Covington,4
194,2012,Custer,1
195,2012,Dallesport,1
196,2012,Deming,1
197,2012,Des Moines,2
198,2012,Duvall,2
199,2012,East Wenatchee,7
200,2012,Eastsound,8
201,2012,Edgewood,2
202,2012,Edmonds,10
203,2012,Electric City,1
204,2012,Elk,1
205,2012,Ellensburg,4
206,2012,Entiat,1
207,2012,Enumclaw,4
208,2012,Ephrata,1
209,2012,Evans,1
210,2012,Everett,27
211,2012,Everson,2
212,2012,Fairchild Air Force Base,1
213,2012,Federal Way,17
214,2012,Ferndale,5
215,2012,Fife,1
216,2012,Fircrest,1
217,2012,Ford,1
218,2012,Forks,1
219,2012,Fox Island,1
220,2012,Freeland,2
221,2012,Friday Harbor,9
222,2012,Gig Harbor,17
223,2012,Goldendale,2
224,2012,Graham,8
225,2012,Granite Falls,1
226,2012,Grayland,1
227,2012,Greenbank,1
228,2012,Hansville,1
229,2012,Hoquiam,1
230,2012,Hunts Point,1
231,2012,Indianola,2
232,2012,Issaquah,7
233,2012,Joint Base Lewis Mcchord,1
234,2012,Joint Base Mdl,1
235,2012,Kalama,3
236,2012,Kelso,1
237,2012,Kenmore,6
238,2012,Kennewick,8
239,2012,Kent,25
240,2012,Kettle Falls,1
241,2012,Kingston,3
242,2012,Kirkland,30
243,2012,La Center,2
244,2012,Lacey,4
245,2012,Lake Forest Park,4
246,2012,Lake Stevens,11
247,2012,Lake Tapps,2
248,2012,Lakewood,13
249,2012,Langley,4
250,2012,Leander,1
251,2012,Liberty Lake,1
252,2012,Long Beach,2
253,2012,Longview,10
254,2012,Lopez Island,5
255,2012,Lynden,2
256,2012,Lynnwood,20
257,2012,Manson,1
258,2012,Maple Valley,7
259,2012,Marysville,19
260,2012,Mccleary,1
261,2012,Mead,2
262,2012,Medical Lake,1
263,2012,Mercer Island,9
264,2012,Mill Creek,7
265,2012,Milton,4
266,2012,Monroe,3
267,2012,Moses Lake,10
268,2012,Mossyrock,1
269,2012,Mount Vernon,8
270,2012,Mountlake Terrace,1
271,2012,Moxee,2
272,2012,Mukilteo,3
273,2012,Naches,1
274,2012,Newcastle,3
275,2012,Nine Mile Falls,2
276,2012,Normandy Park,1
277,2012,North Bend,1
278,2012,North Cove,1
279,2012,Oak Harbor,7
280,2012,Oakville,1
281,2012,Ocean Shores,2
282,2012,Olalla,2
283,2012,Olga,1
284,2012,Olympia,47
285,2012,Omak,1
286,2012,Othello,1
287,2012,Outlook,1
288,2012,Pacific,4
289,2012,Parkland,3
290,2012,Pasco,7
291,2012,Pateros,1
292,2012,Port Angeles,11
293,2012,Port Gamble,1
294,2012,Port Orchard,14
295,2012,Port Townsend,13
296,2012,Poulsbo,6
297,2012,Prosser,1
298,2012,Pullman,3
299,2012,Puyallup,10
300,2012,Quilcene,2
301,2012,Quinault,1
302,2012,Redmond,16
303,2012,Renton,25
304,2012,Richland,12
305,2012,Ridgefield,6
306,2012,Rochester,1
307,2012,Ronald,1
308,2012,Royal City,1
309,2012,Sammamish,14
310,2012,Seatac,6
311,2012,Seattle,199
312,2012,Sedro Woolley,2
313,2012,Sedro-Woolley,2
314,2012,Selah,4
315,2012,Sequim,10
316,2012,Shelton,13
317,2012,Shoreline,10
318,2012,Silverdale,4
319,2012,Silverlake,1
320,2012,Snohomish,10
321,2012,Soap Lake,1
322,2012,South Hill,7
323,2012,Spanaway,5
324,2012,Spokane,32
325,2012,Spokane Valley,10
326,2012,Stanwood,4
327,2012,Stevenson,1
328,2012,Sultan,1
329,2012,Sumner,2
330,2012,Sunnyside,1
331,2012,Surfside,1
332,2012,Tacoma,40
333,2012,Tenino,4
334,2012,Tonasket,1
335,2012,Toppenish,1
336,2012,Tukwila,2
337,2012,Tumwater,3
338,2012,Twisp,1
339,2012,University Place,11
340,2012,Valley,1
341,2012,Vancouver,81
342,2012,Vashon,8
343,2012,Veradale,1
344,2012,Walla Walla,8
345,2012,Washougal,2
346,2012,Wenatchee,4
347,2012,West Richland,6
348,2012,Westport,1
349,2012,White Salmon,1
350,2012,Winlock,1
351,2012,Woodinville,12
352,2012,Woodland,3
353,2012,Yakima,14
354,2012,Yelm,5
355,2012,Zillah,1
356,2013,Aberdeen,8
357,2013,Addy,1
358,2013,Algona,4
359,2013,Allyn,3
360,2013,Anacortes,17
361,2013,Anderson Island,2
362,2013,Arlington,20
363,2013,Auburn,45
364,2013,Augusta,1
365,2013,Bainbridge Island,51
366,2013,Battle Ground,16
367,2013,Beaux Arts,2
368,2013,Belfair,8
369,2013,Bellevue,128
370,2013,Bellingham,152
371,2013,Benton City,3
372,2013,Bingen,1
373,2013,Black Diamond,1
374,2013,Blaine,14
375,2013,Bonney Lake,14
376,2013,Bothell,65
377,2013,Bow,1
378,2013,Bremerton,34
379,2013,Brier,8
380,2013,Brush Prairie,3
381,2013,Buckley,5
382,2013,Burien,27
383,2013,Burlington,4
384,2013,Camano Island,8
385,2013,Camas,37
386,2013,Carnation,6
387,2013,Carson,1
388,2013,Castle Rock,2
389,2013,Cathlamet,1
390,2013,Centerville,1
391,2013,Centralia,9
392,2013,Chehalis,8
393,2013,Chelan,2
394,2013,Cheney,3
395,2013,Chimacum,1
396,2013,Clarkston,2
397,2013,Cle Elum,6
398,2013,Clinton,8
399,2013,Clyde Hill,1
400,2013,Colbert,2
401,2013,College Place,3
402,2013,Coulee City,1
403,2013,Coupeville,6
404,2013,Covington,14
405,2013,Curtis,1
406,2013,Custer,2
407,2013,Deer Park,3
408,2013,Deming,2
409,2013,Des Moines,18
410,2013,Dupont,10
411,2013,Duvall,10
412,2013,East Wenatchee,16
413,2013,Easton,2
414,2013,Eastsound,15
415,2013,Eatonville,1
416,2013,Edgewood,8
417,2013,Edmonds,66
418,2013,Edwall,1
419,2013,Ellensburg,8
420,2013,Elma,3
421,2013,Endicott,1
422,2013,Enumclaw,10
423,2013,Ephrata,1
424,2013,Everett,83
425,2013,Everson,2
426,2013,Fairchild Air Force Base,1
427,2013,Fall City,2
428,2013,Federal Way,29
429,2013,Ferndale,14
430,2013,Fife,5
431,2013,Fircrest,1
432,2013,Forks,1
433,2013,Fox Island,2
434,2013,Freeland,10
435,2013,Friday Harbor,26
436,2013,Gig Harbor,40
437,2013,Gold Bar,5
438,2013,Goldendale,1
439,2013,Graham,13
440,2013,Grandview,1
441,2013,Granite Falls,10
442,2013,Grapeview,1
443,2013,Greenbank,2
444,2013,Hansville,1
445,2013,Hoodsport,1
446,2013,Hoquiam,1
447,2013,Issaquah,27
448,2013,Joint Base Lewis Mcchord,1
449,2013,Kalama,2
450,2013,Kapowsin,1
451,2013,Kelso,1
452,2013,Kenmore,19
453,2013,Kennewick,33
454,2013,Kent,57
455,2013,Kettle Falls,1
456,2013,Kingston,11
457,2013,Kirkland,77
458,2013,La Center,3
459,2013,La Conner,3
460,2013,Lacey,14
461,2013,Lake Forest Park,16
462,2013,Lake Stevens,25
463,2013,Lake Tapps,7
464,2013,Lakebay,1
465,2013,Lakewood,23
466,2013,Langley,10
467,2013,Leavenworth,3
468,2013,Liberty Lake,4
469,2013,Longbranch,2
470,2013,Longview,12
471,2013,Loon Lake,1
472,2013,Lopez Island,6
473,2013,Lummi Island,3
474,2013,Lyle,1
475,2013,Lynden,8
476,2013,Lynnwood,73
477,2013,Malaga,2
478,2013,Manson,1
479,2013,Maple Falls,1
480,2013,Maple Valley,25
481,2013,Marysville,32
482,2013,Mccleary,2
483,2013,Mead,2
484,2013,Medical Lake,1
485,2013,Medina,4
486,2013,Mercer Island,36
487,2013,Mill Creek,10
488,2013,Milton,4
489,2013,Monroe,15
490,2013,Montesano,3
491,2013,Moses Lake,8
492,2013,Mossyrock,1
493,2013,Mount Vernon,29
494,2013,Mountlake Terrace,15
495,2013,Moxee,1
496,2013,Mukilteo,23
497,2013,Neah Bay,1
498,2013,Newcastle,10
499,2013,Newman Lake,1
500,2013,Newport,2
501,2013,Nine Mile Falls,3
502,2013,Nordland,2
503,2013,Normandy Park,8
504,2013,North Bend,5
505,2013,North Cove,1
506,2013,Oak Harbor,14
507,2013,Oakville,1
508,2013,Ocean Shores,5
509,2013,Odessa,1
510,2013,Olalla,1
511,2013,Olga,7
512,2013,Olympia,140
513,2013,Omak,1
514,2013,Orcas,1
515,2013,Orondo,2
516,2013,Othello,2
517,2013,Otis Orchards,3
518,2013,Pacific,3
519,2013,Parkland,2
520,2013,Pasco,25
521,2013,Peshastin,1
522,2013,Phoenix,1
523,2013,Point Roberts,2
524,2013,Port Angeles,21
525,2013,Port Hadlock,2
526,2013,Port Ludlow,6
527,2013,Port Orchard,32
528,2013,Port Townsend,34
529,2013,Poulsbo,29
530,2013,Prosser,2
531,2013,Pullman,10
532,2013,Puyallup,44
533,2013,Quilcene,1
534,2013,Rainier,4
535,2013,Raymond,3
536,2013,Redmond,95
537,2013,Renton,92
538,2013,Richland,20
539,2013,Ridgefield,16
540,2013,Rochester,6
541,2013,Roy,7
542,2013,Ruston,2
543,2013,Sammamish,56
544,2013,Seabeck,2
545,2013,Seatac,19
546,2013,Seattle,649
547,2013,Sedro Woolley,1
548,2013,Sedro-Woolley,5
549,2013,Sequim,31
550,2013,Shelton,12
551,2013,Shoreline,66
552,2013,Silverdale,7
553,2013,Silverlake,1
554,2013,Snohomish,43
555,2013,Snoqualmie,14
556,2013,Soap Lake,1
557,2013,South Hill,11
558,2013,Spanaway,19
559,2013,Spokane,82
560,2013,Spokane Valley,20
561,2013,Sprague,1
562,2013,Springdale,1
563,2013,Stanwood,14
564,2013,Steilacoom,5
565,2013,Stevenson,1
566,2013,Sultan,3
567,2013,Sumas,1
568,2013,Sumner,4
569,2013,Sunnyside,2
570,2013,Suquamish,2
571,2013,Surfside,1
572,2013,Tacoma,108
573,2013,Tahuya,1
574,2013,Tenino,5
575,2013,Toledo,1
576,2013,Tonasket,1
577,2013,Toppenish,2
578,2013,Touchet,1
579,2013,Trout Lake,1
580,2013,Tukwila,13
581,2013,Tumwater,18
582,2013,Underwood,1
583,2013,Union,2
584,2013,University Place,11
585,2013,Upper Marlboro,1
586,2013,Valley,1
587,2013,Vancouver,193
588,2013,Vashon,34
589,2013,Vaughn,1
590,2013,Waitsburg,1
591,2013,Waldron,1
592,2013,Walla Walla,9
593,2013,Wapato,1
594,2013,Washougal,18
595,2013,Wenatchee,9
596,2013,West Richland,7
597,2013,Westport,2
598,2013,White Salmon,5
599,2013,Williamsburg,1
600,2013,Winlock,1
601,2013,Winthrop,2
602,2013,Woodinville,51
603,2013,Woodland,6
604,2013,Yacolt,1
605,2013,Yakima,22
606,2013,Yarrow Point,2
607,2013,Yelm,10
608,2013,Zillah,1
609,2014,Aberdeen,4
610,2014,Acme,1
611,2014,Algona,2
612,2014,Allyn,2
613,2014,Anacortes,23
614,2014,Anderson Island,3
615,2014,Ariel,1
616,2014,Arlington,20
617,2014,Ashford,1
618,2014,Asotin,1
619,2014,Auburn,51
620,2014,Bainbridge Island,42
621,2014,Baring,1
622,2014,Battle Ground,21
623,2014,Bay Center,1
624,2014,Beaux Arts,1
625,2014,Belfair,4
626,2014,Bellevue,102
627,2014,Bellingham,69
628,2014,Bickleton,1
629,2014,Bingen,1
630,2014,Black Diamond,5
631,2014,Blaine,15
632,2014,Bonney Lake,13
633,2014,Bothell,76
634,2014,Bow,3
635,2014,Bremerton,37
636,2014,Brier,3
637,2014,Brinnon,1
638,2014,Brush Prairie,8
639,2014,Buckley,8
640,2014,Burien,14
641,2014,Burlington,3
642,2014,Camano Island,11
643,2014,Camas,26
644,2014,Carbonado,1
645,2014,Carnation,12
646,2014,Cashmere,2
647,2014,Castle Rock,2
648,2014,Cathlamet,1
649,2014,Centralia,6
650,2014,Charlottesville,1
651,2014,Chattaroy,1
652,2014,Chehalis,5
653,2014,Chelan,1
654,2014,Cheney,4
655,2014,Cinebar,1
656,2014,Clarkston,2
657,2014,Cle Elum,3
658,2014,Clearlake,1
659,2014,Clinton,4
660,2014,Clyde Hill,5
661,2014,Colbert,2
662,2014,Coupeville,4
663,2014,Covington,6
664,2014,Curlew,1
665,2014,Custer,2
666,2014,Dayton,1
667,2014,Deer Meadows,1
668,2014,Deer Park,1
669,2014,Des Moines,19
670,2014,Dumfries,1
671,2014,Dupont,2
672,2014,Duvall,12
673,2014,East Wenatchee,8
674,2014,Eastsound,15
675,2014,Eatonville,4
676,2014,Edgewood,5
677,2014,Edmonds,28
678,2014,Ellensburg,4
679,2014,Elma,4
680,2014,Eltopia,1
681,2014,Enumclaw,11
682,2014,Ephrata,2
683,2014,Everett,61
684,2014,Everson,1
685,2014,Fairchild Air Force Base,1
686,2014,Fairfield,1
687,2014,Fall City,1
688,2014,Federal Way,24
689,2014,Ferndale,12
690,2014,Fife,4
691,2014,Fircrest,3
692,2014,Ford,1
693,2014,Forks,1
694,2014,Fox Island,4
695,2014,Freeland,6
696,2014,Friday Harbor,24
697,2014,Gig Harbor,32
698,2014,Gold Bar,3
699,2014,Goldendale,1
700,2014,Graham,8
701,2014,Grand Coulee,3
702,2014,Grandview,1
703,2014,Granger,1
704,2014,Granite Falls,3
705,2014,Grapeview,4
706,2014,Grays River,1
707,2014,Greenacres,1
708,2014,Greenbank,5
709,2014,Hansville,1
710,2014,Hoodsport,2
711,2014,Husum,1
712,2014,Indianola,3
713,2014,Issaquah,27
714,2014,Joint Base Lewis Mcchord,4
715,2014,Kalama,2
716,2014,Kelso,5
717,2014,Kenmore,12
718,2014,Kennewick,25
719,2014,Kent,63
720,2014,Kingston,6
721,2014,Kirkland,69
722,2014,La Center,6
723,2014,Lacey,24
724,2014,Lake Forest Park,8
725,2014,Lake Stevens,31
726,2014,Lake Tapps,5
727,2014,Lakebay,2
728,2014,Lakewood,19
729,2014,Langley,7
730,2014,Las Vegas,1
731,2014,Leavenworth,5
732,2014,Liberty Lake,2
733,2014,Longview,3
734,2014,Lopez Island,3
735,2014,Lummi Island,2
736,2014,Lynden,6
737,2014,Lynnwood,43
738,2014,Madison,1
739,2014,Malaga,2
740,2014,Manassas,1
741,2014,Manson,2
742,2014,Maple Falls,3
743,2014,Maple Valley,26
744,2014,Marysville,31
745,2014,Mattawa,1
746,2014,Mccleary,3
747,2014,Mead,1
748,2014,Medical Lake,4
749,2014,Medina,10
750,2014,Mercer Island,29
751,2014,Middletown,1
752,2014,Mill Creek,6
753,2014,Milton,2
754,2014,Monroe,16
755,2014,Montesano,4
756,2014,Moses Lake,11
757,2014,Mount Vernon,15
758,2014,Mountlake Terrace,14
759,2014,Moxee,2
760,2014,Mukilteo,12
761,2014,Newcastle,15
762,2014,Newman Lake,2
763,2014,Newport,1
764,2014,Nine Mile Falls,2
765,2014,Nordland,2
766,2014,Normandy Park,5
767,2014,North Bend,14
768,2014,Oak Harbor,12
769,2014,Oakville,3
770,2014,Ocean Shores,3
771,2014,Olalla,1
772,2014,Olga,4
773,2014,Olympia,94
774,2014,Orcas Is,1
775,2014,Orondo,2
776,2014,Orting,2
777,2014,Othello,4
778,2014,Pacific,4
779,2014,Palouse,1
780,2014,Parkland,6
781,2014,Pasco,22
782,2014,Point Roberts,2
783,2014,Pomeroy,1
784,2014,Port Angeles,15
785,2014,Port Hadlock,2
786,2014,Port Ludlow,3
787,2014,Port Orchard,27
788,2014,Port Townsend,14
789,2014,Poulsbo,25
790,2014,Princeton,1
791,2014,Prosser,4
792,2014,Pullman,10
793,2014,Puyallup,25
794,2014,Quilcene,2
795,2014,Quincy,3
796,2014,Rainier,1
797,2014,Randle,1
798,2014,Ravensdale,1
799,2014,Raymond,1
800,2014,Redmond,79
801,2014,Renton,84
802,2014,Republic,1
803,2014,Richland,22
804,2014,Ridgefield,9
805,2014,Ritzville,1
806,2014,Rochester,4
807,2014,Ronald,1
808,2014,Roy,5
809,2014,Ruston,1
810,2014,Sammamish,55
811,2014,Seabeck,2
812,2014,Seaside,1
813,2014,Seatac,9
814,2014,Seattle,500
815,2014,Sedro Woolley,1
816,2014,Sedro-Woolley,4
817,2014,Selah,3
818,2014,Sequim,17
819,2014,Seven Bays,1
820,2014,Shaw Island,1
821,2014,Shelton,14
822,2014,Shoreline,44
823,2014,Silver Creek,1
824,2014,Silverdale,5
825,2014,Silverlake,1
826,2014,Snohomish,39
827,2014,Snoqualmie,5
828,2014,Snowden,1
829,2014,Soap Lake,3
830,2014,South Hill,10
831,2014,Spanaway,11
832,2014,Spokane,57
833,2014,Spokane Valley,20
834,2014,Springfield,1
835,2014,Stanwood,9
836,2014,Steilacoom,4
837,2014,Sultan,2
838,2014,Sumas,1
839,2014,Sumner,4
840,2014,Sunnyside,1
841,2014,Suquamish,1
842,2014,Tacoma,101
843,2014,Tampa,1
844,2014,Tenino,5
845,2014,Tonasket,2
846,2014,Trout Lake,1
847,2014,Tukwila,8
848,2014,Tumwater,13
849,2014,Twisp,1
850,2014,Union Gap,1
851,2014,University Place,16
852,2014,Valleyford,1
853,2014,Vancouver,114
854,2014,Vashon,29
855,2014,Veradale,1
856,2014,Walla Walla,9
857,2014,Warden,1
858,2014,Washougal,11
859,2014,Wenatchee,10
860,2014,West Richland,5
861,2014,Westport,2
862,2014,White Salmon,3
863,2014,Winlock,2
864,2014,Woodinville,38
865,2014,Woodland,3
866,2014,Woodway,2
867,2014,Yacolt,2
868,2014,Yakima,29
869,2014,Yelm,5
870,2015,Aberdeen,5
871,2015,Acme,1
872,2015,Addy,1
873,2015,Airway Heights,1
874,2015,Alexandria,1
875,2015,Allyn,1
876,2015,Amboy,1
877,2015,Anacortes,23
878,2015,Anderson Island,3
879,2015,Ann Arbor,1
880,2015,Arlington,15
881,2015,Auburn,50
882,2015,Bainbridge Island,48
883,2015,Battle Ground,16
884,2015,Belfair,5
885,2015,Bellevue,188
886,2015,Bellingham,156
887,2015,Benton City,1
888,2015,Black Diamond,3
889,2015,Blaine,20
890,2015,Bonney Lake,27
891,2015,Bothell,100
892,2015,Bow,6
893,2015,Bremerton,50
894,2015,Bridgeport Bar,1
895,2015,Brier,6
896,2015,Brush Prairie,6
897,2015,Buckley,10
898,2015,Burien,28
899,2015,Burlington,4
900,2015,Camano Island,20
901,2015,Camas,33
902,2015,Carnation,5
903,2015,Cashmere,2
904,2015,Cathlamet,2
905,2015,Centralia,6
906,2015,Chattaroy,4
907,2015,Chehalis,9
908,2015,Chelan,4
909,2015,Cheney,6
910,2015,Chimacum,2
911,2015,Clarkston,1
912,2015,Clayton,1
913,2015,Cle Elum,2
914,2015,Clinton,12
915,2015,Clyde Hill,4
916,2015,Colbert,4
917,2015,Colfax,1
918,2015,College Place,2
919,2015,Colville,1
920,2015,Concrete,1
921,2015,Copalis Beach,1
922,2015,Coulee Dam,1
923,2015,Coupeville,9
924,2015,Covington,14
925,2015,Custer,1
926,2015,Darrington,1
927,2015,Decatur,1
928,2015,Deer Park,4
929,2015,Deming,1
930,2015,Des Moines,15
931,2015,Dupont,3
932,2015,Duvall,13
933,2015,East Wenatchee,9
934,2015,Eastsound,20
935,2015,Eatonville,4
936,2015,Edgewood,6
937,2015,Edmonds,62
938,2015,Electric City,1
939,2015,Ellensburg,7
940,2015,Elma,5
941,2015,Entiat,4
942,2015,Enumclaw,12
943,2015,Ephrata,1
944,2015,Evans,1
945,2015,Everett,65
946,2015,Everson,2
947,2015,Fall City,5
948,2015,Federal Way,43
949,2015,Ferndale,12
950,2015,Fife,5
951,2015,Fircrest,2
952,2015,Fort Leavenworth,1
953,2015,Fox Island,5
954,2015,Frances,1
955,2015,Freeland,6
956,2015,Friday Harbor,30
957,2015,Gig Harbor,41
958,2015,Gold Bar,1
959,2015,Goldendale,1
960,2015,Graham,11
961,2015,Grandview,2
962,2015,Granite Falls,3
963,2015,Grapeview,3
964,2015,Greenacres,2
965,2015,Greenbank,4
966,2015,Hansville,3
967,2015,Hoodsport,1
968,2015,Hoquiam,6
969,2015,Huntington Beach,1
970,2015,Hunts Point,3
971,2015,Indianola,3
972,2015,Issaquah,37
973,2015,Joint Base Lewis Mcchord,1
974,2015,Kalama,1
975,2015,Kelso,3
976,2015,Kenmore,25
977,2015,Kennewick,32
978,2015,Kent,65
979,2015,Kingston,5
980,2015,Kirkland,104
981,2015,La Center,6
982,2015,La Conner,2
983,2015,La Push,1
984,2015,Lacey,23
985,2015,Lake Forest Park,22
986,2015,Lake Stevens,36
987,2015,Lake Tapps,8
988,2015,Lakebay,2
989,2015,Lakewood,18
990,2015,Langley,6
991,2015,Leavenworth,11
992,2015,Liberty Lake,3
993,2015,Long Beach,1
994,2015,Longview,14
995,2015,Lopez Is,1
996,2015,Lopez Island,9
997,2015,Lummi Island,3
998,2015,Lynden,8
999,2015,Lynnwood,65
1000,2015,Manson,2
1001,2015,Maple Falls,1
1002,2015,Maple Valley,31
1003,2015,Marysville,32
1004,2015,Medical Lake,4
1005,2015,Medina,5
1006,2015,Menlo,1
1007,2015,Mercer Island,50
1008,2015,Middleburg,1
1009,2015,Mill Creek,16
1010,2015,Milton,1
1011,2015,Moclips,1
1012,2015,Monroe,17
1013,2015,Montesano,1
1014,2015,Morton,1
1015,2015,Moses Lake,11
1016,2015,Mossyrock,1
1017,2015,Mount Vernon,21
1018,2015,Mountlake Terrace,16
1019,2015,Moxee,1
1020,2015,Mukilteo,19
1021,2015,Napavine,1
1022,2015,Naselle,1
1023,2015,Newcastle,9
1024,2015,Newman Lake,3
1025,2015,Nine Mile Falls,7
1026,2015,Nordland,6
1027,2015,Normandy Park,5
1028,2015,North Bend,9
1029,2015,North Bonneville,1
1030,2015,North Cove,1
1031,2015,Oak Harbor,12
1032,2015,Oakville,2
1033,2015,Ocean Park,3
1034,2015,Ocean Shores,6
1035,2015,Okanogan,1
1036,2015,Olalla,1
1037,2015,Old Lyme,1
1038,2015,Olga,5
1039,2015,Olympia,122
1040,2015,Omak,1
1041,2015,Orcas Is,1
1042,2015,Orting,8
1043,2015,Othello,1
1044,2015,Otis Orchards,5
1045,2015,Pacific,2
1046,2015,Pacific Beach,1
1047,2015,Packwood,1
1048,2015,Palouse,1
1049,2015,Parkland,5
1050,2015,Pasco,17
1051,2015,Point Roberts,1
1052,2015,Port Angeles,15
1053,2015,Port Hadlock,4
1054,2015,Port Ludlow,4
1055,2015,Port Orchard,33
1056,2015,Port Townsend,28
1057,2015,Poulsbo,25
1058,2015,Preston,4
1059,2015,Providence,1
1060,2015,Pullman,5
1061,2015,Puyallup,27
1062,2015,Quilcene,2
1063,2015,Quincy,1
1064,2015,Ravensdale,2
1065,2015,Redmond,111
1066,2015,Renton,82
1067,2015,Republic,2
1068,2015,Richland,17
1069,2015,Ridgefield,18
1070,2015,Rochester,5
1071,2015,Rockford,1
1072,2015,Ronald,3
1073,2015,Rosalia,2
1074,2015,Roslyn,1
1075,2015,Roy,3
1076,2015,Sammamish,66
1077,2015,San Jose,1
1078,2015,Seabeck,3
1079,2015,Seatac,16
1080,2015,Seattle,827
